"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
33	37.1779	37.2512	37.2632	37.2206	37.4394	37.163	37.1942	37.3643	37.1406	37.0664	37.2464	37.1656	37.3165	37.1702	37.3854	37.1506	37.237	37.3649	37.2056	37.2052
34	37.1794	37.256	37.2671	37.2228	37.4421	37.1681	37.1975	37.3652	37.144	37.0695	37.2507	37.1671	37.3188	37.1718	37.388	37.1537	37.2408	37.3684	37.2059	37.2081
35	37.1798	37.2569	37.2666	37.2213	37.4404	37.1678	37.197	37.366	37.1458	37.0692	37.2489	37.1675	37.3174	37.1705	37.3875	37.1549	37.24	37.3663	37.206	37.2075
36	37.1764	37.2525	37.2639	37.2194	37.4368	37.1643	37.1951	37.362	37.1408	37.0653	37.2471	37.1624	37.3121	37.1684	37.3841	37.1512	37.2383	37.3645	37.2044	37.2068
37	37.1733	37.249	37.2602	37.2145	37.4334	37.1585	37.1913	37.3582	37.1362	37.0599	37.2441	37.1572	37.3088	37.1642	37.3817	37.1468	37.2353	37.3607	37.2004	37.2008
38	37.1752	37.2513	37.2631	37.2143	37.4342	37.16	37.1933	37.361	37.1386	37.0634	37.2441	37.1631	37.3113	37.1665	37.3846	37.1485	37.238	37.3616	37.2017	37.2063
39	37.1815	37.2541	37.268	37.2207	37.4386	37.1658	37.1992	37.3649	37.1438	37.0672	37.2492	37.1683	37.3172	37.1722	37.3885	37.1539	37.2436	37.3685	37.2069	37.2097
40	37.18	37.2538	37.265	37.2193	37.4373	37.1662	37.1961	37.3622	37.1423	37.0655	37.2454	37.1656	37.3142	37.1725	37.3846	37.1529	37.2414	37.3664	37.2065	37.2045
41	37.1769	37.2511	37.2614	37.2155	37.4348	37.163	37.1941	37.3613	37.1401	37.0655	37.243	37.164	37.3127	37.1678	37.383	37.1505	37.24	37.3643	37.2028	37.2071
42	37.1743	37.2474	37.2591	37.2129	37.4319	37.1589	37.1899	37.3574	37.1353	37.059	37.24	37.1581	37.3062	37.1639	37.3808	37.1459	37.2346	37.3617	37.1995	37.201
43	37.1665	37.2398	37.2503	37.2054	37.427	37.1522	37.1837	37.3515	37.1287	37.0504	37.2344	37.152	37.3002	37.1581	37.3752	37.1391	37.2293	37.3562	37.1949	37.193
44	37.1601	37.2381	37.2478	37.2001	37.4241	37.1492	37.1806	37.3481	37.1234	37.0447	37.2327	37.1469	37.2984	37.1557	37.3738	37.1359	37.2275	37.3529	37.1923	37.1918
45	37.1579	37.2356	37.2478	37.1997	37.4233	37.1475	37.1776	37.3451	37.1201	37.0423	37.2329	37.1456	37.2957	37.1549	37.3726	37.1337	37.2281	37.3518	37.1906	37.193
46	37.1594	37.2362	37.2469	37.2	37.4226	37.1478	37.1798	37.3444	37.1196	37.0419	37.2334	37.1434	37.2963	37.1554	37.3738	37.1332	37.2291	37.353	37.1909	37.1859
47	37.1444	37.2235	37.2355	37.186	37.4125	37.1348	37.1653	37.3332	37.1048	37.0283	37.2195	37.1277	37.2834	37.1429	37.3618	37.1198	37.2159	37.3393	37.1771	37.1753
48	37.1444	37.2235	37.2361	37.1877	37.4112	37.1362	37.167	37.333	37.1067	37.0283	37.2237	37.1305	37.284	37.1439	37.3648	37.1232	37.2171	37.3419	37.179	37.1812
49	37.1393	37.2179	37.2298	37.1807	37.409	37.1296	37.1603	37.3264	37.0996	37.0211	37.2176	37.1206	37.2791	37.1383	37.3587	37.1155	37.2104	37.3363	37.1753	37.1666
50	37.136	37.2151	37.2273	37.179	37.4083	37.1263	37.1593	37.3252	37.0954	37.0168	37.2163	37.1184	37.2776	37.1357	37.358	37.1132	37.2099	37.3339	37.1718	37.1628
51	37.1322	37.212	37.2262	37.1763	37.4053	37.1247	37.1553	37.3208	37.093	37.0123	37.2147	37.114	37.275	37.1333	37.3548	37.1094	37.2071	37.3333	37.1714	37.1635
52	37.1284	37.2093	37.2219	37.1718	37.4048	37.1213	37.1525	37.3191	37.0886	37.0083	37.2109	37.1097	37.2733	37.13	37.3525	37.1067	37.2053	37.3302	37.1695	37.1613
