"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
63	37.2402	37.2952	37.3053	37.1647	37.2245	37.3516	37.3108	37.2339	37.2619	37.2644	37.3528	37.2625	37.2765	37.3588	37.3646	37.3401	37.3792	37.2341	37.2848	37.2662
64	37.2342	37.2908	37.2989	37.1546	37.2178	37.3474	37.3041	37.2265	37.2561	37.2585	37.3487	37.2576	37.2693	37.3558	37.3595	37.3351	37.3775	37.2255	37.2797	37.2618
65	37.0664	37.1331	37.1383	36.9903	37.0543	37.1922	37.1465	37.0628	37.0908	37.0924	37.1961	37.09	37.1059	37.2022	37.2041	37.1786	37.2235	37.0604	37.1222	37.1031
66	37.1718	37.2306	37.2392	37.0961	37.1565	37.2907	37.2496	37.167	37.1969	37.1977	37.2923	37.1918	37.2095	37.2995	37.3017	37.2796	37.3205	37.1648	37.2216	37.1952
67	37.1819	37.2396	37.2511	37.1028	37.1649	37.302	37.2593	37.1759	37.2049	37.2079	37.3045	37.2042	37.2193	37.3104	37.3139	37.2882	37.3312	37.177	37.2317	37.2054
68	37.1992	37.2567	37.2678	37.1198	37.1815	37.3192	37.2755	37.1922	37.2213	37.2234	37.3192	37.2214	37.2352	37.3277	37.3304	37.3063	37.3472	37.1929	37.2501	37.224
69	37.2041	37.262	37.2728	37.1257	37.1891	37.3241	37.2801	37.1966	37.2268	37.2278	37.3264	37.2235	37.2407	37.3329	37.3352	37.3115	37.3524	37.1985	37.2548	37.232
70	37.1989	37.2575	37.2648	37.1188	37.183	37.3175	37.2742	37.1902	37.2196	37.2208	37.3209	37.2165	37.2352	37.3264	37.3283	37.3045	37.3473	37.1933	37.2481	37.2265
71	37.1866	37.2446	37.2557	37.1068	37.1717	37.3054	37.2632	37.1775	37.2089	37.2082	37.3096	37.2053	37.223	37.3152	37.3198	37.2935	37.3374	37.1811	37.2375	37.2132
72	37.1633	37.2219	37.2333	37.0827	37.1468	37.2851	37.2419	37.1541	37.1857	37.1851	37.2894	37.18	37.2008	37.2961	37.2988	37.2734	37.3181	37.1578	37.2177	37.1878
73	37.1567	37.2172	37.228	37.073	37.138	37.281	37.2363	37.1451	37.1803	37.1793	37.2861	37.1772	37.1946	37.2908	37.2943	37.2694	37.3148	37.151	37.2128	37.1863
74	37.1539	37.2142	37.2267	37.0713	37.1336	37.2801	37.2356	37.1425	37.1784	37.1761	37.283	37.1724	37.1911	37.2893	37.2924	37.2687	37.3151	37.149	37.2082	37.1787
75	37.1423	37.2054	37.2145	37.062	37.1231	37.2698	37.2251	37.1336	37.1674	37.1668	37.2733	37.1585	37.1814	37.281	37.282	37.2572	37.306	37.1381	37.1985	37.1616
76	37.1242	37.1873	37.1984	37.0413	37.1058	37.2556	37.2089	37.1159	37.1494	37.1489	37.2586	37.1386	37.1651	37.267	37.2676	37.2432	37.29	37.1196	37.1826	37.1429
77	37.1044	37.1679	37.1796	37.0196	37.0841	37.2396	37.1903	37.0952	37.1308	37.1292	37.2436	37.1159	37.1434	37.2487	37.2521	37.224	37.2723	37.0997	37.1636	37.1206
78	37.088	37.1533	37.1643	37.0029	37.0675	37.2254	37.1759	37.0802	37.1152	37.1134	37.2287	37.1027	37.1299	37.2361	37.2371	37.2101	37.2595	37.0832	37.1475	37.108
79	37.0919	37.1561	37.1686	37.0074	37.0709	37.2299	37.1808	37.0832	37.1216	37.1159	37.2325	37.11	37.1329	37.2413	37.2411	37.2157	37.2642	37.0864	37.1517	37.122
80	37.0832	37.148	37.1614	36.9957	37.0625	37.2213	37.1711	37.0731	37.1125	37.1051	37.2253	37.0987	37.1233	37.2313	37.2343	37.207	37.2569	37.0771	37.1443	37.1099
81	37.056	37.1224	37.1369	36.9654	37.0357	37.1975	37.1478	37.0462	37.0852	37.0805	37.2012	37.071	37.0971	37.2086	37.2106	37.1827	37.2332	37.0501	37.1222	37.0811
82	37.0357	37.1032	37.1171	36.9416	37.0143	37.1811	37.1275	37.0228	37.0625	37.0596	37.1814	37.0461	37.0769	37.1928	37.1915	37.1654	37.2177	37.0293	37.1029	37.0509
83	37.0238	37.0925	37.1079	36.9288	37.0018	37.1719	37.1185	37.0101	37.0528	37.047	37.1741	37.0334	37.0631	37.1813	37.1809	37.1565	37.2081	37.0173	37.0912	37.0462
84	37.0257	37.0934	37.1072	36.93	37.0014	37.1699	37.1175	37.0104	37.0533	37.0447	37.1738	37.031	37.0647	37.1838	37.1823	37.1543	37.2084	37.0182	37.0906	37.0457
85	37.018	37.0883	37.1004	36.9243	36.9958	37.1642	37.1115	37.0045	37.0456	37.0393	37.1673	37.0253	37.0576	37.179	37.1771	37.1508	37.2034	37.0152	37.0859	37.0358
86	37.005	37.0752	37.0904	36.9096	36.9839	37.155	37.1	36.9904	37.0334	37.0256	37.1592	37.0177	37.0458	37.169	37.167	37.14	37.1957	37.0016	37.075	37.0295
87	36.9895	37.0618	37.0776	36.897	36.9694	37.1428	37.087	36.9763	37.0213	37.0123	37.1471	37.0003	37.0329	37.1558	37.1552	37.1282	37.1829	36.987	37.0599	37.0049
88	36.9766	37.0482	37.0641	36.8835	36.9534	37.1312	37.0758	36.961	37.0071	36.9991	37.1349	36.9866	37.0179	37.1463	37.1414	37.1176	37.1717	36.9724	37.0496	36.9949
89	36.9596	37.0342	37.0487	36.864	36.9351	37.1186	37.0623	36.9451	36.9946	36.983	37.1216	36.9704	36.9996	37.1315	37.1301	37.1026	37.1585	36.955	37.034	36.9798
90	36.9224	36.9984	37.0132	36.822	36.8975	37.0847	37.0247	36.9058	36.955	36.9444	37.0887	36.9327	36.9634	37.0984	37.0953	37.0676	37.126	36.9172	36.9998	36.9448
91	36.8797	36.9589	36.9732	36.7786	36.8568	37.0443	36.9873	36.8648	36.9102	36.9024	37.0514	36.8917	36.9243	37.0627	37.0594	37.0296	37.0897	36.8768	36.9615	36.9071
